wavelength (nm),irradiance (W/m^2/nm),
309.9,0.501951908,
310,0.512798064,
310.1,0.529451412,
310.2,0.551994094,
310.3,0.579804405,
310.4,0.611512803,
310.5,0.6451472,
310.6,0.678441896,
310.7,0.709184172,
310.8,0.735523136,
310.9,0.756162417,
311,0.770407129,
311.1,0.778099349,
311.2,0.779510293,
311.3,0.775224831,
311.4,0.766079886,
311.5,0.753131336,
311.6,0.737640196,
311.7,0.721026352,
311.8,0.704765315,
311.9,0.690236001,
312,0.678539984,
312.1,0.67034194,
312.2,0.665795273,
312.3,0.664568346,
312.4,0.665966692,
312.5,0.669112375,
312.6,0.673136603,
312.7,0.677339902,
312.8,0.681292987,
312.9,0.684869046,
313,0.688221934,
313.1,0.691711964,
313.2,0.695775595,
313.3,0.700771059,
313.4,0.706799923,
313.5,0.713557931,
313.6,0.720273449,
313.7,0.725776857,
313.8,0.728717303,
313.9,0.727904247,
314,0.722683444,
314.1,0.713235964,
314.2,0.700684371,
314.3,0.686937771,
314.4,0.674294854,
314.5,0.664898276,
314.6,0.660194907,
314.7,0.660559944,
314.8,0.665201371,
314.9,0.67234164,
315,0.679627982,
315.1,0.684639192,
315.2,0.685371503,
315.3,0.680609739,
315.4,0.670127211,
315.5,0.654719093,
315.6,0.636066125,
315.7,0.616469714,
315.8,0.598479263,
315.9,0.584489482,
316,0.576364818,
316.1,0.575188174,
316.2,0.581176815,
316.3,0.593783337,
316.4,0.61191979,
316.5,0.634239632,
316.6,0.659366955,
316.7,0.686018755,
316.8,0.713000755,
316.9,0.739117288,
317,0.763081984,
317.1,0.783474657,
317.2,0.798814669,
317.3,0.807728051,
317.4,0.809196391,
317.5,0.802807186,
317.6,0.788951109,
317.7,0.768904002,
317.8,0.744755409,
317.9,0.719171065,
318,0.695022293,
318.1,0.674936092,
318.2,0.660855556,
318.3,0.65372205,
318.4,0.653342497,
318.5,0.65846775,
318.6,0.667095851,
318.7,0.676912874,
318.8,0.685787622,
318.9,0.692231945,
319,0.6956848,
319.1,0.696592527,
319.2,0.69623754,
319.3,0.696362053,
319.4,0.698705381,
319.5,0.704568111,
319.6,0.714528159,
319.7,0.728372027,
319.8,0.745210791,
319.9,0.763710843,
320,0.782351412,
320.1,0.799615076,
320.2,0.814092389,
320.3,0.82452928,
320.4,0.829860529,
320.5,0.829296189,
320.6,0.822457727,
320.7,0.809548001,
320.8,0.791472939,
320.9,0.769867626,
321,0.746949437,
321.1,0.725232648,
321.2,0.70712172,
321.3,0.694506487,
321.4,0.688416052,
321.5,0.688842271,
321.6,0.694750228,
321.7,0.704280891,
321.8,0.715104477,
321.9,0.724830526,
322,0.731418754,
322.1,0.733473562,
322.2,0.730415217,
322.3,0.722502854,
322.4,0.710698039,
322.5,0.696466545,
322.6,0.681508164,
322.7,0.667487323,
322.8,0.655799898,
322.9,0.647401181,
323,0.642727954,
323.1,0.641746696,
323.2,0.644080712,
323.3,0.649199821,
323.4,0.656598757,
323.5,0.665895089,
323.6,0.676837205,
323.7,0.689219597,
323.8,0.702766744,
323.9,0.717033584,
324,0.731384136,
324.1,0.745044867,
324.2,0.7572347,
324.3,0.767310769,
324.4,0.774922335,
324.5,0.780121189,
324.6,0.783400656,
324.7,0.785668395,
324.8,0.788145127,
324.9,0.792183501,
325,0.7990474,
325.1,0.809685252,
325.2,0.824541798,
325.3,0.843449986,
325.4,0.865622437,
325.5,0.889762567,
325.6,0.91425175,
325.7,0.937406907,
325.8,0.957729785,
325.9,0.974133747,
326,0.986085514,
326.1,0.993638805,
326.2,0.9973673,
326.3,0.998187569,
326.4,0.997136477,
326.5,0.995144,
326.6,0.99287737,
326.7,0.990673312,
326.8,0.988586763,
326.9,0.986499075,
327,0.984251368,
327.1,0.981726681,
327.2,0.978874592,
327.3,0.975680703,
327.4,0.972124326,
327.5,0.968153848,
327.6,0.963696487,
327.7,0.958695578,
327.8,0.953147312,
327.9,0.947126601,
328,0.940802545,
328.1,0.934447918,
328.2,0.928469147,
328.3,0.923438306,
328.4,0.920109854,
328.5,0.91937997,
328.6,0.922169249,
328.7,0.929228174,
328.8,0.940927648,
328.9,0.957089987,
329,0.97695054,
329.1,0.999243936,
329.2,1.022420643,
329.3,1.044895859,
329.4,1.065274884,
329.5,1.082461481,
329.6,1.095674452,
329.7,1.104375784,
329.8,1.108197871,
329.9,1.106923849,
330,1.100541358,
